movieId,imdbId,tmdbId
0,114709,862.0
1,113497,8844.0
2,113228,15602.0
3,114885,31357.0
4,113041,11862.0
5,113277,949.0
6,114319,11860.0
7,112302,45325.0
8,114576,9091.0
9,113189,710.0
10,112346,9087.0
11,112896,12110.0
12,112453,21032.0
13,113987,10858.0
14,112760,1408.0
15,112641,524.0
16,114388,4584.0
17,113101,5.0
18,112281,9273.0
19,113845,11517.0
20,113161,8012.0
21,112722,1710.0
22,112401,9691.0
23,114168,12665.0
24,113627,451.0
25,114057,16420.0
26,114011,9263.0
27,114117,17015.0
28,112682,902.0
29,115012,37557.0
30,112792,9909.0
31,114746,63.0
32,112431,9598.0
33,112637,47018.0
34,112818,687.0
35,113442,33689.0
36,112697,9603.0
37,112749,34615.0
38,114279,31174.0
39,112819,11443.0
40,114272,35196.0
41,113855,9312.0
42,114681,577.0
43,113347,11861.0
44,114369,807.0
45,114148,10530.0
46,114916,8391.0
47,114814,629.0
48,113819,11448.0
49,112499,26441.0
50,113158,97406.0
51,113321,9089.0
52,110877,11010.0
53,113419,11359.0
54,116260,17182.0
55,113862,2054.0
56,116126,10607.0
57,118002,19760.0
58,115683,9536.0
59,116839,11525.0
60,113149,4482.0
61,113118,10634.0
62,116367,755.0
63,113010,11859.0
64,113537,28387.0
65,113828,48750.0
66,115644,20927.0
67,115676,36929.0
68,114367,9102.0
69,113973,124626.0
70,112744,27526.0
71,116731,9623.0
72,112445,46785.0
73,114660,400.0
74,112379,880.0
75,114039,146599.0
76,112365,8447.0
77,118158,10534.0
78,116151,17414.0
79,115697,13997.0
80,113972,2086.0
81,117002,9095.0
82,114825,12158.0
83,115639,9283.0
84,115759,9208.0
85,113403,40154.0
86,113247,406.0
87,113283,63076.0
88,115907,11062.0
89,115734,13685.0
90,117102,47475.0
91,118040,2045.0
92,116483,9614.0
93,112579,688.0
94,117110,10874.0
95,112573,197.0
96,75314,103.0
97,113326,33542.0
98,115645,43566.0
99,113774,71754.0
100,112373,51352.0
101,115033,16934.0
102,116606,10324.0
103,114536,78406.0
104,106473,32119.0
105,103859,11066.0
106,109424,11104.0
107,114808,37975.0
108,116324,2074.0
109,110647,27793.0
110,113107,73067.0
111,113451,11863.0
112,116130,9101.0
113,118055,9302.0
114,115685,11000.0
115,112585,16388.0
116,112442,9737.0
117,112342,30765.0
118,112461,10474.0
119,112427,22279.0
120,109093,30157.0
121,112384,568.0
122,114287,11780.0
123,112288,34996.0
124,112462,414.0
125,61395,649.0
126,112495,1873.0
127,112541,5894.0
128,109370,1775.0
129,112642,8839.0
130,112688,20649.0
131,112715,10329.0
132,112740,8963.0
133,109508,26564.0
134,112851,8068.0
135,112857,8512.0
136,112864,1572.0
137,112887,13552.0
138,113071,6520.0
139,113114,9073.0
140,113243,10428.0
141,113464,17447.0
142,113481,9886.0
143,113492,9482.0
144,113500,19326.0
145,113540,9344.0
146,113677,9071.0
147,113690,8973.0
148,107447,15730.0
149,113729,47608.0
150,113749,2293.0
151,113820,9070.0
152,113851,68274.0
153,110604,48787.0
154,110620,34574.0
155,113957,1642.0
156,113986,11472.0
157,114095,36196.0
158,114194,11980.0
159,114323,32646.0
160,114345,10533.0
161,114436,10802.0
162,114478,10149.0
163,114496,18402.0
164,114508,9348.0
165,114558,281.0
166,58450,5967.0
167,114666,79593.0
168,114663,47939.0
169,114702,36834.0
170,114682,9090.0
171,114781,3512.0
172,114798,52856.0
173,114805,77350.0
174,114887,9560.0
175,114898,9804.0
176,114928,31611.0
177,114938,65796.0
178,109340,49805.0
179,112602,26258.0
180,111579,50797.0
181,110882,19155.0
182,112471,76.0
183,112508,11017.0
184,112438,37141.0
185,112571,9382.0
186,112757,6715.0
187,112643,18256.0
188,112679,22625.0
189,109445,2292.0
190,112883,1909.0
191,109635,8984.0
192,109676,4954.0
193,112854,62488.0
194,109579,10531.0
195,109642,11929.0
196,109686,8467.0
197,111797,10451.0
198,109759,20156.0
199,109758,18395.0
200,109707,522.0
201,113117,397.0
202,113097,10525.0
203,113028,27985.0
204,113198,15789.0
205,113303,27303.0
206,113089,21183.0
207,109771,10954.0
208,113199,47867.0
209,113234,43475.0
210,109906,72031.0
211,110057,14275.0
212,110005,1024.0
213,110066,17207.0
214,110116,13701.0
215,110006,14819.0
216,113360,32631.0
217,110099,11777.0
218,110148,628.0
219,113463,87729.0
220,110189,18713.0
221,110216,6280.0
222,113501,9061.0
223,113538,37108.0
224,113552,6071.0
225,76759,11.0
226,110367,9587.0
227,113670,19101.0
228,110296,49980.0
229,109731,17961.0
230,103994,18183.0
231,110322,4476.0
232,110443,11008.0
233,110365,47504.0
234,107566,32325.0
235,110391,43742.0
236,113691,28313.0
237,110428,11318.0
238,109836,3036.0
239,113755,40490.0
240,110538,24070.0
241,110516,8986.0
242,110527,10510.0
243,113808,17402.0
244,113896,38722.0
245,113870,8438.0
246,110684,11593.0
247,110638,1945.0
248,110671,131957.0
249,110632,241.0
250,110737,9058.0
251,110729,527.0
252,114151,18220.0
253,114069,6950.0
254,110413,101.0
255,114113,63020.0
256,114210,2307.0
257,110912,680.0
258,114084,41478.0
259,105652,25296.0
260,110889,40156.0
261,110932,11450.0
262,114129,30304.0
263,110963,10452.0
264,114214,12106.0
265,114296,161495.0
266,110907,3586.0
267,111495,110.0
268,108394,108.0
269,111507,109.0
270,110769,159185.0
271,114571,28033.0
272,111333,22586.0
273,111112,14334.0
274,111255,2636.0
275,111282,2164.0
276,111070,11395.0
277,111161,278.0
278,111149,9905.0
279,108260,87078.0
280,106966,12527.0
281,114594,20306.0
282,111309,36614.0
283,113936,27993.0
284,110081,31439.0
285,114614,9067.0
286,114608,9059.0
287,111280,193.0
288,114609,25066.0
289,111454,46797.0
290,114852,12122.0
291,114694,11381.0
292,111590,32636.0
293,114788,36141.0
294,108550,1587.0
295,114857,9271.0
296,114924,2064.0
297,111667,19855.0
298,109655,60855.0
299,110598,236.0
300,112435,48287.0
301,109040,3049.0
302,109045,2759.0
303,106339,12635.0
304,104779,10497.0
305,109348,11382.0
306,109444,9331.0
307,109446,10731.0
308,109484,10464.0
309,109504,34152.0
310,109506,9495.0
311,109450,29973.0
312,109813,888.0
313,109830,13.0
314,109831,712.0
315,113305,16295.0
316,110091,48992.0
317,110093,10879.0
318,110167,10660.0
319,110213,10714.0
320,107472,41647.0
321,110357,8587.0
322,107426,1689.0
323,111686,11596.0
324,110475,854.0
325,110478,9359.0
326,110588,23333.0
327,110622,36593.0
328,110771,12280.0
329,110950,2788.0
330,105226,10427.0
331,110989,11011.0
332,111054,49803.0
333,110997,8987.0
334,111257,1637.0
335,111256,15128.0
336,111438,8831.0
337,111503,36955.0
338,111693,10449.0
339,111742,10395.0
340,111756,12160.0
341,112443,40480.0
342,111048,29444.0
343,110399,26352.0
344,112570,39953.0
345,109454,41580.0
346,59170,315.0
347,110186,22067.0
348,108069,18242.0
349,111301,11667.0
350,112702,32502.0
351,110027,8011.0
352,113409,2654.0
353,109021,18069.0
354,109035,19092.0
355,106220,2758.0
356,111804,38129.0
357,106226,10436.0
358,109068,13595.0
359,109067,46094.0
360,106292,9409.0
361,109198,11853.0
362,109219,16771.0
363,106379,46924.0
364,106400,11041.0
365,109254,306.0
366,109279,14522.0
367,109297,26203.0
368,109303,178.0
369,109305,19819.0
370,109306,57834.0
371,106452,4722.0
372,106471,18215.0
373,106489,1607.0
374,109361,26391.0
375,106505,117553.0
376,106519,6075.0
377,109439,11310.0
378,109443,18658.0
379,106582,9350.0
380,106598,9612.0
381,109456,2124.0
382,109480,26261.0
383,109493,19176.0
384,106673,11566.0
385,106677,9571.0
386,106697,9739.0
387,109729,24257.0
388,106834,34444.0
389,106873,26141.0
390,106332,10997.0
391,109783,50463.0
392,106881,10443.0
393,106880,20239.0
394,111732,16297.0
395,106926,18551.0
396,111712,25440.0
397,106941,9024.0
398,106918,37233.0
399,106965,1634.0
400,109842,13815.0
